phase,input_pulse,input_sd,output_pulse,output_sd,midpoint_pulse,midpoint_sd,gradient_pulse,gradient_sd
0.3625,4.63097,8.04942,0.10115,0.79620,0.44091,1.23395,5.01922,8.05863
0.3667,4.71317,8.00494,0.11307,0.79912,0.46011,1.23831,5.18786,7.99705
0.3708,4.80422,7.93638,0.12561,0.80358,0.48135,1.24309,5.37360,7.93775
0.3750,4.91030,7.86636,0.13892,0.81146,0.50474,1.24402,5.56893,7.88104
0.3792,5.02918,7.79350,0.15300,0.82187,0.52978,1.25217,5.76478,7.83248
0.3833,5.15986,7.68949,0.16814,0.82814,0.55622,1.25788,5.95350,7.84815
0.3875,5.29864,7.61826,0.18429,0.82698,0.58391,1.26254,6.12673,7.94976
0.3917,5.43880,7.57075,0.20087,0.82004,0.61244,1.25740,6.24348,8.06174
0.3958,5.57512,7.55135,0.21797,0.81047,0.64135,1.24489,6.34610,8.17089
0.4000,5.70553,7.57395,0.23549,0.80389,0.67111,1.22826,6.43397,8.25318
0.4042,5.82650,7.64918,0.25318,0.79783,0.70172,1.21186,6.51119,8.30768
0.4083,5.93460,7.79837,0.27115,0.78986,0.73286,1.20178,6.58287,8.31906
0.4125,5.98613,7.95627,0.28988,0.77794,0.76411,1.19807,6.64956,8.31906
0.4167,6.03801,8.08833,0.30954,0.76931,0.79516,1.19134,6.71406,8.31906
0.4208,6.09125,8.19116,0.33024,0.76152,0.82581,1.18827,6.78142,8.31906
0.4250,6.14893,8.24332,0.35216,0.75694,0.85560,1.17885,6.85428,8.18926
0.4292,6.21428,8.25463,0.37481,0.75309,0.88390,1.16800,6.93532,7.83622
0.4333,6.29028,8.25513,0.39792,0.74717,0.91087,1.15509,7.01760,7.56622
0.4375,6.37699,8.25513,0.42120,0.74547,0.93648,1.14151,7.09196,7.38837
0.4417,6.47483,8.25513,0.44431,0.74628,0.96122,1.12599,7.15244,7.30939
0.4458,6.58317,8.44588,0.46721,0.75090,0.98497,1.11182,7.19144,7.29132
0.4500,6.70105,7.94351,0.48968,0.75603,1.00799,1.10294,7.19918,7.34277
0.4542,6.82313,7.55717,0.51109,0.75389,1.03097,1.10333,7.16703,7.43652
0.4583,6.94332,7.30531,0.53127,0.74139,1.05416,1.10308,7.08920,7.54952
0.4625,7.05321,7.20214,0.54995,0.73356,1.07754,1.09693,7.01568,7.58837
0.4667,7.14390,7.21873,0.56700,0.72786,1.10142,1.08507,6.91878,7.54350
0.4708,7.20607,7.27403,0.58205,0.72308,1.12548,1.07702,6.79925,7.47716
0.4750,7.23085,7.37838,0.59554,0.71841,1.14933,1.06735,6.65675,7.41250
0.4792,7.20708,7.52297,0.60817,0.71386,1.17289,1.05829,6.49502,7.41842
0.4833,7.19396,7.56421,0.62020,0.71027,1.19583,1.05342,6.31871,7.47018
0.4875,7.15637,7.55504,0.63195,0.70637,1.21779,1.05296,6.12801,7.52178
0.4917,7.09042,7.56948,0.64357,0.70355,1.23867,1.05460,5.92750,7.62368
0.4958,6.99573,7.56654,0.65501,0.70455,1.25836,1.05706,5.72557,7.72741
0.5000,6.87017,7.55180,0.66620,0.70616,1.27674,1.05566,5.52314,7.78749
0.5042,6.71555,7.50828,0.67693,0.70299,1.29382,1.04452,5.31984,7.79777
0.5083,6.53173,7.50220,0.68699,0.70318,1.31025,1.03534,5.11869,7.76036
0.5125,6.32469,7.55216,0.69631,0.70581,1.32641,1.02824,4.91806,7.71660
0.5167,6.10080,7.59156,0.70559,0.70962,1.34279,1.02172,4.71593,7.70620
0.5208,5.86811,7.61890,0.71319,0.71286,1.36005,1.01097,4.50801,7.72509
0.5250,5.62935,7.64664,0.71896,0.71648,1.37853,1.00669,4.29787,7.82835
0.5292,5.38901,7.69372,0.72255,0.71642,1.39794,1.00547,4.08777,7.88659
0.5333,5.14821,7.74450,0.72396,0.71588,1.41773,1.00415,3.88456,7.95600
0.5375,4.90890,7.79618,0.72334,0.71595,1.43697,1.00397,3.69106,7.99116
0.5417,4.67052,7.87770,0.72114,0.71595,1.45504,1.01216,3.51048,8.03123
0.5458,4.43243,7.97158,0.71748,0.71595,1.46660,1.02248,3.34677,8.02936
0.5500,4.19693,8.02080,0.71242,0.73818,1.47996,1.03159,3.20300,8.07036
0.5542,3.96758,8.03019,0.70637,0.71042,1.49384,1.03919,3.08138,8.07847
0.5583,3.74320,8.02640,0.69943,0.69197,1.50748,1.04187,2.98407,8.08608
0.5625,3.52863,8.03451,0.69180,0.68357,1.52011,1.04244,2.90932,7.99592
0.5667,3.32456,8.03726,0.68355,0.68543,1.53084,1.04243,2.84722,7.87635
0.5708,3.13637,8.02925,0.67465,0.69552,1.53955,1.04243,2.79444,7.81215
0.5750,2.96474,8.02967,0.66550,0.71065,1.54640,1.04243,2.74717,7.78651
0.5792,2.81715,8.00113,0.65624,0.72291,1.55158,1.01348,2.69391,7.72391
0.5833,2.69663,7.91164,0.64740,0.73503,1.55510,0.97745,2.62808,7.62036
0.5875,2.60126,7.81106,0.63766,0.74427,1.55704,0.95394,2.54373,7.52841
0.5917,2.52500,7.70814,0.62758,0.75090,1.55737,0.94390,2.44354,7.51605
0.5958,2.46692,7.62897,0.61731,0.75694,1.55545,0.94775,2.32670,7.53192
0.6000,2.41655,7.58585,0.60683,0.76136,1.55073,0.96447,2.19740,7.55927
0.6042,2.36830,7.54741,0.59611,0.75873,1.54234,0.99089,2.05691,7.52835
0.6083,2.31801,7.53768,0.58491,0.75711,1.52953,1.01843,1.91034,7.45341
0.6125,2.25999,7.55142,0.57314,0.75357,1.51236,1.03256,1.76069,7.43692
0.6167,2.19089,7.53239,0.56109,0.75506,1.49901,1.04524,1.61263,7.46689
0.6208,2.11068,7.55518,0.54899,0.76079,1.48350,1.05379,1.47254,7.53631
0.6250,2.01988,7.53157,0.53654,0.76355,1.46595,1.06460,1.33923,7.70283
0.6292,1.91851,7.45386,0.52363,0.76619,1.44697,1.07645,1.21519,7.67634
0.6333,1.80533,7.46100,0.51018,0.77183,1.42712,1.08740,1.10303,7.72100
0.6375,1.68451,7.52821,0.49619,0.77715,1.40699,1.09962,1.00613,7.70759
0.6417,1.56387,7.53813,0.48171,0.78146,1.38680,1.10791,0.92071,7.67068
0.6458,1.44882,7.61516,0.46644,0.78817,1.36665,1.11726,0.83957,7.64887
0.6500,1.34654,7.59913,0.45053,0.79149,1.34669,1.12209,0.76164,7.60119
0.6542,1.25593,7.63645,0.43416,0.79158,1.32698,1.12270,0.68641,7.48758
0.6583,1.17307,7.65341,0.41721,0.78619,1.30718,1.12490,0.60970,7.38847
0.6625,1.09835,7.66688,0.39985,0.78329,1.28724,1.13239,0.53298,7.29091
0.6667,1.02742,7.62127,0.38195,0.78311,1.26683,1.14619,0.45301,7.27713
0.6708,0.96279,7.57239,0.36350,0.78594,1.24504,1.16692,0.36492,7.26983
0.6750,0.90519,7.49070,0.34476,0.78685,1.22146,1.19137,0.26924,7.37930
