index,time_s,tissue_motion_px_per_frame,detrended,pulsatility_wave,is_pulse_peak
65,2.18132,0.144827,-0.002345,-0.010651,0
66,2.21462,0.110490,-0.036993,0.023290,0
67,2.24792,0.250581,0.103389,0.053107,0
68,2.28123,0.190334,0.042659,0.073819,0
69,2.31453,0.136763,-0.012281,0.081921,1
70,2.34783,0.334855,0.186625,0.075861,0
71,2.38113,0.166161,0.017611,0.056593,0
72,2.41444,0.163598,0.015824,0.027973,0
73,2.44774,0.108786,-0.038990,-0.004154,0
74,2.48104,0.086148,-0.062370,-0.033777,0
75,2.51435,0.077221,-0.071066,-0.056209,0
76,2.54765,0.075437,-0.072763,-0.068773,0
77,2.58095,0.075551,-0.072352,-0.070721,0
78,2.61425,0.072202,-0.075415,-0.062714,0
79,2.64756,0.098374,-0.049049,-0.046313,0
80,2.68086,0.129845,-0.017249,-0.023631,0
81,2.71416,0.088995,-0.058655,0.002792,0
82,2.74746,0.207809,0.060560,0.029861,0
83,2.78077,0.162153,0.014144,0.053915,0
84,2.81407,0.125801,-0.023354,0.071002,0
85,2.84737,0.281236,0.132190,0.077302,1
86,2.88067,0.231951,0.083432,0.070245,0
87,2.91398,0.256074,0.109017,0.050198,0
88,2.94728,0.072433,-0.074534,0.021118,0
89,2.98058,0.079734,-0.067258,-0.010899,0
90,3.01388,0.111882,-0.034718,-0.040047,0
91,3.04719,0.063613,-0.083104,-0.062237,0
92,3.08049,0.072263,-0.074530,-0.075162,0
93,3.11379,0.070701,-0.075945,-0.077848,0
94,3.14709,0.079444,-0.066963,-0.070197,0
95,3.18040,0.111089,-0.034976,-0.052674,0
96,3.21370,0.118599,-0.027233,-0.026359,0
97,3.24700,0.147120,0.001628,0.006613,0
98,3.28030,0.163425,0.018507,0.042425,0
99,3.31361,0.159830,0.015676,0.075231,0
100,3.34691,0.210718,0.067292,0.097608,0
101,3.38021,0.416009,0.274084,0.102463,1
102,3.41351,0.274569,0.131393,0.086347,0
103,3.44682,0.133808,-0.011158,0.051854,0
104,3.48012,0.139935,-0.004070,0.006677,0
105,3.51342,0.100220,-0.043885,-0.039523,0
106,3.54673,0.080424,-0.063761,-0.077836,0
107,3.58003,0.061077,-0.082823,-0.101649,0
108,3.61333,0.078498,-0.065437,-0.107344,0
109,3.64663,0.067376,-0.076558,-0.094366,0
110,3.67994,0.115101,-0.028633,-0.064924,0
111,3.71324,0.104920,-0.038463,-0.023645,0
112,3.74654,0.169704,0.026208,0.022811,0
113,3.77984,0.205962,0.063406,0.066366,0
114,3.81315,0.233008,0.090638,0.098693,0
115,3.84645,0.208113,0.065788,0.112794,1
116,3.87975,0.422754,0.281284,0.104784,0
117,3.91305,0.210616,0.066384,0.075779,0
118,3.94636,0.102642,-0.042682,0.032367,0
119,3.97966,0.141749,-0.003597,-0.015672,0
120,4.01296,0.071952,-0.073519,-0.058676,0
121,4.04626,0.068008,-0.077609,-0.089240,0
122,4.07957,0.070561,-0.074985,-0.103052,0
123,4.11287,0.070779,-0.074719,-0.098928,0
124,4.14617,0.071569,-0.073978,-0.078339,0
125,4.17947,0.091029,-0.054188,-0.044944,0
126,4.21278,0.153913,0.008827,-0.004203,0
127,4.24608,0.133836,-0.011438,0.037175,0
128,4.27938,0.215147,0.070429,0.072028,0
129,4.31268,0.237749,0.092880,0.093846,0
130,4.34599,0.203931,0.058617,0.098208,1
131,4.37929,0.371141,0.226143,0.084164,0
132,4.41259,0.139872,-0.006812,0.055106,0
133,4.44589,0.116331,-0.030406,0.018113,0
134,4.47920,0.100163,-0.046797,-0.018656,0
135,4.51250,0.061087,-0.085977,-0.048742,0
136,4.54580,0.104026,-0.042527,-0.068635,0
137,4.57911,0.081958,-0.065158,-0.077455,0
138,4.61241,0.066564,-0.080941,-0.075855,0
139,4.64571,0.071057,-0.076510,-0.065084,0
140,4.67901,0.073606,-0.073947,-0.046683,0
141,4.71232,0.142583,-0.004762,-0.022545,0
142,4.74562,0.137035,-0.010732,0.005020,0
143,4.77892,0.211747,0.064178,0.033282,0
144,4.81222,0.174818,0.026499,0.059064,0
145,4.84553,0.120268,-0.028153,0.078573,0
146,4.87883,0.273558,0.125801,0.087349,1
147,4.91213,0.308229,0.161055,0.081448,0
148,4.94543,0.283002,0.137279,0.059958,0
149,4.97874,0.074939,-0.070776,0.026594,0
150,5.01204,0.104253,-0.041114,-0.011583,0
151,5.04534,0.091823,-0.053278,-0.047072,0
152,5.07864,0.058512,-0.086780,-0.074042,0
153,5.11195,0.077003,-0.068536,-0.088977,0
154,5.14525,0.071229,-0.074166,-0.090503,0
155,5.17855,0.074000,-0.071424,-0.078869,0
156,5.21185,0.112886,-0.032346,-0.055516,0
157,5.24516,0.120752,-0.024838,-0.022947,0
158,5.27846,0.165136,0.020342,0.015138,0
159,5.31176,0.173365,0.028430,0.053644,0
160,5.34506,0.132663,-0.011626,0.086059,0
161,5.37837,0.256952,0.113694,0.105016,1
162,5.41167,0.417512,0.275713,0.104304,0
163,5.44497,0.262969,0.119936,0.082241,0
164,5.47827,0.110898,-0.033915,0.043577,0
165,5.51158,0.097464,-0.046672,-0.002383,0
166,5.54488,0.090569,-0.053802,-0.045700,0
167,5.57818,0.068947,-0.075725,-0.078661,0
168,5.61149,0.071163,-0.073537,-0.096762,0
169,5.64479,0.076658,-0.068247,-0.098519,0
170,5.67809,0.068311,-0.076576,-0.084754,0
171,5.71139,0.117917,-0.026917,-0.057926,0
172,5.74470,0.106081,-0.038539,-0.021770,0
173,5.77800,0.157293,0.013135,0.018755,0
174,5.81130,0.175862,0.031863,0.057468,0
175,5.84460,0.166231,0.023252,0.087337,0
176,5.87791,0.252622,0.110696,0.101508,1
177,5.91121,0.385288,0.244433,0.095382,0
178,5.94451,0.260956,0.117402,0.069327,0
179,5.97781,0.092705,-0.052898,0.029738,0
180,6.01112,0.089163,-0.057126,-0.013364,0
181,6.04442,0.065375,-0.082035,-0.050478,0
182,6.07772,0.114848,-0.032524,-0.075391,0
183,6.11102,0.107658,-0.039818,-0.085576,0
184,6.14433,0.076339,-0.071293,-0.081208,0
185,6.17763,0.078168,-0.069494,-0.064169,0
186,6.21093,0.092228,-0.055457,-0.037641,0
187,6.24423,0.156912,0.009673,-0.005888,0
188,6.27754,0.129167,-0.018062,0.026170,0
189,6.31084,0.231631,0.085030,0.053569,0
190,6.34414,0.169142,0.022120,0.071984,0
191,6.37744,0.150345,0.002245,0.078293,1
192,6.41075,0.362932,0.215602,0.071072,0
193,6.44405,0.142528,-0.006216,0.051484,0
194,6.47735,0.133134,-0.015208,0.023674,0
195,6.51065,0.108152,-0.040574,-0.006604,0
196,6.54396,0.075975,-0.073216,-0.034054,0
197,6.57726,0.097871,-0.051064,-0.054988,0
198,6.61056,0.083551,-0.065581,-0.067434,0
199,6.64387,0.065368,-0.083634,-0.070645,0
200,6.67717,0.070043,-0.079033,-0.064633,0
201,6.71047,0.097644,-0.051407,-0.050046,0
202,6.74377,0.137497,-0.011286,-0.028175,0
203,6.77708,0.097345,-0.051681,-0.001038,0
204,6.81038,0.218749,0.070388,0.028382,0
205,6.84368,0.174229,0.025204,0.056060,0
206,6.87698,0.114214,-0.036113,0.077179,0
207,6.91029,0.290025,0.140608,0.086597,1
208,6.94359,0.322903,0.173631,0.080357,0
209,6.97689,0.264634,0.116510,0.058255,0
210,7.01019,0.080188,-0.068213,0.025028,0
211,7.04350,0.093333,-0.055162,-0.011558,0
212,7.07680,0.095404,-0.052864,-0.044080,0
213,7.11010,0.073068,-0.075170,-0.067613,0
214,7.14340,0.089363,-0.058837,-0.080029,0
215,7.17671,0.069923,-0.078125,-0.081260,0
216,7.21001,0.086287,-0.061789,-0.072303,0
217,7.24331,0.134441,-0.013685,-0.054439,0
218,7.27661,0.091788,-0.056610,-0.028948,0
219,7.30992,0.200619,0.052695,0.002521,0
220,7.34322,0.144974,-0.003379,0.037184,0
221,7.37652,0.108145,-0.040608,0.070319,0
222,7.40982,0.273652,0.126404,0.094980,0
223,7.44313,0.385464,0.238840,0.103581,1
224,7.47643,0.302866,0.157145,0.091547,0
225,7.50973,0.162562,0.015718,0.060190,0
226,7.54304,0.163021,0.016332,0.016265,0
227,7.57634,0.100655,-0.046180,-0.030790,0
228,7.60964,0.091332,-0.055334,-0.071672,0
229,7.64294,0.080793,-0.065437,-0.099091,0
230,7.67625,0.073816,-0.072317,-0.108682,0
231,7.70955,0.075674,-0.070218,-0.099198,0
232,7.74285,0.102005,-0.043702,-0.072347,0
233,7.77615,0.136127,-0.009181,-0.032464,0
234,7.80946,0.154578,0.009457,0.013988,0
235,7.84276,0.213124,0.068486,0.059109,0
236,7.87606,0.218327,0.074021,0.094561,0
237,7.90936,0.203523,0.059597,0.112887,1
238,7.94267,0.436906,0.293880,0.109248,0
239,7.97597,0.246365,0.100659,0.083613,0
240,8.00927,0.109956,-0.037520,0.041775,0
241,8.04257,0.146576,-0.000854,-0.006633,0
242,8.07588,0.068527,-0.079212,-0.051622,0
243,8.10918,0.076418,-0.071505,-0.085304,0
244,8.14248,0.065181,-0.082664,-0.102891,0
245,8.17578,0.077967,-0.069944,-0.102695,0
246,8.20909,0.071802,-0.076238,-0.085567,0
247,8.24239,0.088386,-0.059168,-0.054394,0
248,8.27569,0.142837,-0.004374,-0.013859,0
249,8.30899,0.104688,-0.042543,0.029739,0
250,8.34230,0.233759,0.087100,0.068903,0
251,8.37560,0.251220,0.104371,0.096033,0
252,8.40890,0.174054,0.026386,0.105210,1
253,8.44220,0.404385,0.257503,0.093922,0
254,8.47551,0.158453,0.009880,0.064350,0
255,8.50881,0.136095,-0.012357,0.023334,0
256,8.54211,0.105976,-0.042783,-0.019847,0
257,8.57542,0.069998,-0.079440,-0.056514,0
258,8.60872,0.066139,-0.083136,-0.080598,0
259,8.64202,0.067713,-0.081488,-0.089365,0
260,8.67532,0.062823,-0.086161,-0.083150,0
261,8.70863,0.070897,-0.078071,-0.064542,0
262,8.74193,0.122484,-0.026292,-0.037459,0
263,8.77523,0.130839,-0.017827,-0.006289,0
264,8.80853,0.114152,-0.034819,0.024692,0
265,8.84184,0.214883,0.065930,0.051472,0
266,8.87514,0.202675,0.053153,0.070476,0
267,8.90844,0.115671,-0.035096,0.078951,1
268,8.94174,0.328507,0.178585,0.075260,0
269,8.97505,0.178758,0.028530,0.059519,0
270,9.00835,0.194904,0.045854,0.034393,0
271,9.04165,0.075002,-0.073498,0.004688,0
272,9.07495,0.078751,-0.069394,-0.024334,0
273,9.10826,0.099368,-0.048440,-0.048564,0
274,9.14156,0.068117,-0.079738,-0.065551,0
275,9.17486,0.067399,-0.080521,-0.074073,0
276,9.20816,0.056265,-0.091572,-0.073588,0
277,9.24147,0.075426,-0.072416,-0.064005,0
278,9.27477,0.120580,-0.027053,-0.045684,0
279,9.30807,0.112204,-0.035757,-0.019612,0
280,9.34137,0.187602,0.039947,0.012228,0
281,9.37468,0.139033,-0.009023,0.046349,0
282,9.40798,0.115665,-0.032325,0.077315,0
283,9.44128,0.281061,0.133839,0.097900,0
284,9.47458,0.386346,0.240756,0.101113,1
285,9.50789,0.294256,0.148799,0.083899,0
286,9.54119,0.103950,-0.043089,0.049434,0
287,9.57449,0.104116,-0.042357,0.005652,0
288,9.60780,0.114655,-0.032263,-0.038342,0
289,9.64110,0.076410,-0.070990,-0.074876,0
290,9.67440,0.071447,-0.076179,-0.098595,0
291,9.70770,0.081707,-0.065893,-0.106465,0
292,9.74101,0.053348,-0.094147,-0.097514,0
293,9.77431,0.106298,-0.041104,-0.072667,0
294,9.80761,0.099210,-0.047969,-0.034846,0
295,9.84091,0.166689,0.019400,0.010861,0
296,9.87422,0.191551,0.044878,0.057313,0
297,9.90752,0.188713,0.042986,0.095982,0
298,9.94082,0.218444,0.073004,0.118205,1
299,9.97412,0.476848,0.332768,0.117388,0
300,10.00743,0.253613,0.106949,0.092161,0
301,10.04073,0.108057,-0.040389,0.048098,0
302,10.07403,0.155149,0.006919,-0.004354,0
303,10.10733,0.080678,-0.067708,-0.053824,0
304,10.14064,0.066270,-0.082404,-0.090962,0
305,10.17394,0.069680,-0.078972,-0.109916,0
306,10.20724,0.068412,-0.080525,-0.108743,0
307,10.24054,0.068820,-0.080218,-0.088971,0
